"id","first_name","last_name","father_name","date_of_birth","place_of_birth","phone_number","national_code","identification_number","address","postal_code","salary","branch"
"1","سمیرا","نعیمی","محمود","1335-01-04","اصفهان","79953166387","6572303426","3209994755","کرمانشاه، خیابان ساری، پلاک 64، طبقه19، واحد2","3000728940","65000000","62"
"2","بیتا","خالو","فرهاد","1396-02-05","بیرجند","28164676454","6401535821","2193977052","مشهد، خیابان همدان، پلاک 25، طبقه19، واحد3","4063031700","60000000","28"
"3","شادی","خالو","شهریار","1347-04-14","بوشهر","84336099885","2505975206","1378183901","بوشهر، خیابان کیش، پلاک 102، طبقه6، واحد4","5625623560","50000000","104"
"4","نازنین","تهرانی","هادی","1336-07-15","ساری","36934123677","2560942174","4841426448","هرمزگان، خیابان ایلام، پلاک 99، طبقه11، واحد4","2754831231","60000000","108"
"5","مریم","علوی","فرهاد","1387-12-27","کرمان","54638789428","8033755900","5545987928","خرم آباد، خیابان اردبیل، پلاک 109، طبقه1، واحد1","1976448015","65000000","96"
"6","سمیرا","میرعباسی","هادی","1367-08-02","خوانسار","70667239251","3547725603","6565056764","مشهد، خیابان مشهد، پلاک 36، طبقه13، واحد4","5095703646","60000000","88"
"7","سروین","صبا","محمدجواد","1328-02-12","بیرجند","46446932046","6517333408","1604820777","ملایر، خیابان بیرجند، پلاک 24، طبقه15، واحد4","3354074458","50000000","101"
"8","هادی","اربابی","باربد","1313-07-03","قزوین","95030064970","6811321641","7308816927","اردبیل، خیابان همدان، پلاک 51، طبقه18، واحد3","6347650809","50000000","80"
"9","سروین","ملایری","محمدجواد","1332-12-03","تبریز","13793491164","5543151770","8327628294","مشهد، خیابان قزوین، پلاک 17، طبقه7، واحد2","7254240628","65000000","17"
"10","داراب","فولادی","آرمین","1401-04-09","ملایر","53685587006","3852484916","7125037165","اراک، خیابان قم، پلاک 35، طبقه8، واحد1","3996759187","50000000","66"
"11","بردیا","طیبی","امیر","1366-04-23","کرمان","26091798200","4917548101","2209380189","تهران، خیابان کیش، پلاک 21، طبقه12، واحد4","4800457761","50000000","110"
"12","پارسا","علوی","هیربد","1314-02-25","کاشان","23459281101","8442367339","3349163276","تهران، خیابان ملایر، پلاک 77، طبقه7، واحد2","3329361957","50000000","100"
"13","باربد","کاووسی","علی","1380-07-03","سمنان","66349354063","7798477314","9501861747","کرمانشاه، خیابان قم، پلاک 76، طبقه7، واحد3","9128073755","65000000","30"
