"id","first_name","last_name","father_name","date_of_birth","place_of_birth","phone_number","national_code","identification_number","address","postal_code","salary","branch"
"1","نازنین","عقیلی","بردیا","1377-09-19","اصفهان","29822211817","2230499250","8317279184","تبریز، خیابان سمنان، پلاک 117، طبقه9، واحد4","7995108673","200000000","63"
"2","کیانا","بابایی نژاد","امید","1360-10-27","ساری","70429697758","6932167357","2875015591","قزوین، خیابان مشهد، پلاک 103، طبقه15، واحد1","7566340592","150000000","58"
"3","سحر","تهرانی","فرهاد","1394-05-25","شوش","48092051757","3874469532","2520755181","اصفهان، خیابان بیرجند، پلاک 24، طبقه9، واحد3","3284715704","200000000","65"
"4","امیرپاشا","آریایی","فرهاد","1341-10-22","ساری","96144227575","4468822525","6930676909","خرم آباد، خیابان قم، پلاک 70، طبقه1، واحد3","7248079243","150000000","7"
"5","سمیرا","فدایی","پارسا","1371-09-27","هرمزگان","20548923608","9199795543","2432951366","مشهد، خیابان اراک، پلاک 53، طبقه15، واحد2","9873177943","250000000","8"
"6","هیربد","فرزان","علی","1381-06-12","یزد","45074024584","8085085747","7287210078","بجنورد، خیابان یزد، پلاک 55، طبقه7، واحد2","5414866655","250000000","38"
"7","رامین","میرعباسی","باربد","1319-05-05","بجنورد","19333410213","4463736634","1476755048","کرمان، خیابان کیش، پلاک 99، طبقه16، واحد4","5703541464","200000000","70"
"8","محمود","رضوی","داراب","1344-06-08","بیرجند","58375574433","3212906842","7230838584","شوش، خیابان اردبیل، پلاک 127، طبقه3، واحد4","8072447404","100000000","82"
"9","سارا","میر","سورنا","1389-09-22","خرم آباد","23012502460","8386549100","1577524915","بیرجند، خیابان اصفهان، پلاک 42، طبقه7، واحد4","5172960085","250000000","69"
"10","بیتا","تبریزی","پدرام","1356-03-01","بیرجند","65618992953","8933660984","2372945184","قم، خیابان ساری، پلاک 118، طبقه3، واحد3","8808586409","250000000","83"
