"id","cvv2","issue_date","expiration_date","close_date","first_password","second_password","status","owner","branch","account","issuer","closer"
"1","416","1387-11-02","1392-11-02",NULL,"Wug3","i8H7","1","165","52","174","52",NULL
"2","822","1393-03-05","1398-03-05",NULL,"twsP","LiR4","1","6","7","183","183",NULL
"3","657","1399-04-28","1404-04-28",NULL,"V1mt","CYF3","1","199","106","215","41",NULL
"4","998","1391-03-19","1396-03-19",NULL,"brHi","OvSH","1","33","87","201","174",NULL
"5","486","1394-10-01","1399-10-01",NULL,"le9V","Dutm","1","176","4","113","213",NULL
"6","429","1394-06-01","1399-06-01",NULL,"BAtI","sZKc","1","152","33","55","238",NULL
"7","112","1400-07-20","1405-07-20",NULL,"uSMF","ECZB","1","220","31","55","198",NULL
"8","890","1398-12-10","1403-12-10",NULL,"Og6q","KY7P","1","190","87","34","212",NULL
"9","716","1388-02-10","1393-02-10",NULL,"5l4H","1eiO","1","244","22","104","84",NULL
"10","627","1390-04-05","1395-04-05",NULL,"UjwZ","0o3q","1","104","51","277","181",NULL
"11","421","1399-12-17","1404-12-17",NULL,"Thr4","IZsw","1","71","49","263","40",NULL
"12","147","1388-08-02","1393-08-02",NULL,"6r3A","64ZB","1","228","92","184","168",NULL
"13","915","1400-09-07","1405-09-07",NULL,"ITgj","PC7s","1","129","101","190","144",NULL
"14","397","1397-11-05","1402-11-05",NULL,"g7Ym","z4um","1","172","59","138","215",NULL
"15","553","1400-12-28","1405-12-28",NULL,"J80w","x9vn","1","58","14","126","209",NULL
"16","943","1394-07-23","1399-07-23",NULL,"PHA9","tQcu","1","11","78","172","49",NULL
"17","611","1396-08-14","1401-08-14",NULL,"2VOi","ns7n","1","242","99","129","206",NULL
"18","450","1393-12-07","1398-12-07",NULL,"kxlB","JRDS","1","221","96","39","204",NULL
"19","392","1393-11-17","1398-11-17",NULL,"Drjq","Obsw","1","164","6","142","105",NULL
"20","307","1393-12-10","1398-12-10",NULL,"Tgyw","taAv","1","232","38","52","3",NULL
"21","409","1390-05-11","1395-05-11",NULL,"fVDn","hyoL","1","190","58","203","9",NULL
"22","130","1387-11-22","1392-11-22",NULL,"1nx1","bBaT","1","247","105","152","58",NULL
"23","647","1394-08-20","1399-08-20",NULL,"5v9q","1gOA","1","2","92","288","55",NULL
"24","233","1391-05-03","1396-05-03",NULL,"oBq9","CR9l","1","105","94","169","238",NULL
"25","539","1387-06-20","1392-06-20",NULL,"3At8","6FKP","1","223","9","36","60",NULL
"26","444","1389-10-25","1394-10-25",NULL,"uIvk","EFEO","1","32","18","277","219",NULL
"27","838","1388-12-19","1393-12-19","1389-07-25","rRjE","Aba3","0","203","90","60","162","189"
"28","877","1391-09-28","1396-09-28",NULL,"nCek","nIVj","1","236","105","12","143",NULL
"29","816","1393-08-09","1398-08-09",NULL,"Pbxh","Uiqz","1","40","7","182","104",NULL
"30","260","1394-08-01","1399-08-01",NULL,"BFIO","q6DN","1","83","41","202","203",NULL
"31","598","1397-02-26","1402-02-26",NULL,"QXY1","CxHu","1","102","71","25","39",NULL
"32","918","1394-12-08","1399-12-08",NULL,"uJzt","e548","1","127","47","275","196",NULL
"33","282","1390-02-13","1395-02-13",NULL,"PnjM","c2Rm","1","185","28","105","179",NULL
"34","224","1399-12-07","1404-12-07","1400-12-09","SLKR","j0Ii","0","234","11","133","110","195"
"35","348","1399-02-16","1404-02-16",NULL,"aCgi","7iQA","1","77","42","167","79",NULL
"36","254","1400-10-13","1405-10-13",NULL,"M9VH","8zN2","1","21","58","133","34",NULL
"37","919","1394-03-10","1399-03-10",NULL,"VO7g","G9Fk","1","243","25","196","37",NULL
"38","743","1397-01-15","1402-01-15",NULL,"5WoL","CI3d","1","14","46","157","246",NULL
"39","736","1392-07-22","1397-07-22",NULL,"Kp7H","Acu6","1","104","22","137","177",NULL
"40","321","1396-10-21","1401-10-21",NULL,"spMw","239j","1","166","78","255","233",NULL
"41","126","1400-12-10","1405-12-10",NULL,"Zi74","kK3o","1","149","28","297","234",NULL
"42","166","1395-12-12","1400-12-12",NULL,"tReF","rVa2","1","154","1","76","88",NULL
"43","681","1400-02-14","1405-02-14",NULL,"CvS1","ydow","1","186","21","11","201",NULL
"44","209","1388-06-26","1393-06-26",NULL,"v8zH","ImKj","1","229","86","138","155",NULL
"45","733","1396-04-01","1401-04-01",NULL,"L8TV","HEuQ","1","250","40","176","245",NULL
"46","968","1400-04-13","1405-04-13",NULL,"y5gg","5YlO","1","216","101","212","164",NULL
"47","496","1392-11-15","1397-11-15",NULL,"fJns","rvdu","1","36","100","269","201",NULL
"48","979","1398-08-02","1403-08-02",NULL,"Hwi0","Fm3x","1","25","24","300","139",NULL
"49","731","1399-07-25","1404-07-25",NULL,"Xh2l","IuC6","1","159","26","238","161",NULL
"50","950","1396-04-14","1401-04-14",NULL,"ugmB","F2zg","1","202","81","277","65",NULL
"51","316","1398-01-26","1403-01-26",NULL,"Xh2X","wtLY","1","176","68","294","158",NULL
"52","628","1399-03-03","1404-03-03",NULL,"QBRN","ZR9x","1","34","101","35","214",NULL
"53","237","1400-12-06","1405-12-06",NULL,"K6GU","MVZm","1","19","26","211","89",NULL
"54","620","1397-07-18","1402-07-18",NULL,"K5BL","Obyu","1","23","101","37","84",NULL
"55","936","1395-09-19","1400-09-19",NULL,"Slhv","6wI8","1","16","39","299","68",NULL
"56","336","1395-04-12","1400-04-12",NULL,"3l7Q","XgCd","1","103","52","288","145",NULL
"57","975","1388-12-15","1393-12-15",NULL,"znTZ","VcAn","1","46","33","116","12",NULL
"58","831","1388-12-27","1393-12-27",NULL,"Hry1","mcyO","1","157","19","75","103",NULL
"59","932","1398-12-21","1403-12-21",NULL,"urRt","0NbB","1","27","51","136","38",NULL
"60","697","1387-07-14","1392-07-14",NULL,"mtoZ","vbc3","1","183","22","99","225",NULL
"61","475","1391-03-02","1396-03-02",NULL,"sYey","145V","1","191","92","59","200",NULL
"62","911","1399-09-10","1404-09-10",NULL,"nBcI","DZjP","1","135","90","42","230",NULL
"63","857","1398-05-20","1403-05-20",NULL,"6lbt","wzvS","1","52","24","61","169",NULL
"64","962","1397-01-09","1402-01-09",NULL,"nQpR","pXU1","1","231","44","179","72",NULL
"65","273","1395-05-16","1400-05-16",NULL,"RQr8","xU8U","1","210","14","287","95",NULL
"66","760","1389-06-20","1394-06-20",NULL,"Tvdm","FumF","1","66","29","206","57",NULL
"67","256","1388-05-13","1393-05-13","1389-01-10","GA8B","kS6b","0","108","6","124","128","33"
"68","858","1399-12-26","1404-12-26",NULL,"ceDS","5Jml","1","178","52","1","123",NULL
"69","329","1390-08-23","1395-08-23",NULL,"K5Hh","U7fZ","1","38","80","101","103",NULL
"70","302","1397-11-05","1402-11-05",NULL,"j1Mh","sY9G","1","239","8","66","212",NULL
"71","206","1400-02-13","1405-02-13",NULL,"apv6","0Ad0","1","168","89","256","45",NULL
"72","159","1398-05-18","1403-05-18",NULL,"yUTp","2reQ","1","6","105","201","63",NULL
"73","354","1389-09-21","1394-09-21",NULL,"G1y8","49GJ","1","214","80","100","198",NULL
"74","315","1399-10-20","1404-10-20",NULL,"TYBk","CLW2","1","204","55","55","225",NULL
"75","550","1389-03-17","1394-03-17",NULL,"TlKK","AiAv","1","226","79","16","62",NULL
"76","820","1389-06-15","1394-06-15",NULL,"NVCj","znro","1","222","88","98","247",NULL
"77","178","1400-08-27","1405-08-27",NULL,"A4d4","qkyr","1","111","86","126","176",NULL
"78","160","1398-02-28","1403-02-28",NULL,"tHDS","kMvw","1","240","36","109","11",NULL
"79","419","1387-05-22","1392-05-22",NULL,"dW6Z","Cq0D","1","135","52","290","147",NULL
"80","514","1400-07-17","1405-07-17",NULL,"9WDG","HYLs","1","245","33","235","198",NULL
"81","216","1400-06-16","1405-06-16",NULL,"NtCo","AQdc","1","189","79","64","16",NULL
"82","542","1390-10-08","1395-10-08",NULL,"dlcE","72Rf","1","221","61","206","59",NULL
"83","398","1390-12-02","1395-12-02",NULL,"O86v","IkUA","1","110","6","286","52",NULL
"84","304","1390-02-10","1395-02-10",NULL,"NoWc","lHdI","1","105","57","13","154",NULL
"85","235","1388-10-05","1393-10-05",NULL,"XoX9","4jUk","1","155","70","289","89",NULL
"86","886","1399-03-18","1404-03-18",NULL,"JNFJ","k135","1","147","81","7","138",NULL
"87","502","1389-01-13","1394-01-13",NULL,"vx0P","lT4m","1","43","49","127","81",NULL
"88","666","1388-05-16","1393-05-16",NULL,"g0mh","FMmH","1","209","95","216","38",NULL
"89","417","1392-03-14","1397-03-14",NULL,"QiqN","YPkO","1","220","109","266","179",NULL
"90","331","1398-08-04","1403-08-04",NULL,"vjiZ","39pr","1","79","102","22","81",NULL
"91","793","1397-05-20","1402-05-20",NULL,"ejFi","9hCY","1","6","10","111","246",NULL
"92","577","1397-11-06","1402-11-06",NULL,"u8cn","gj8d","1","136","19","29","35",NULL
"93","704","1391-04-12","1396-04-12",NULL,"pnuF","LKjJ","1","12","91","296","238",NULL
"94","601","1390-08-11","1395-08-11",NULL,"39f8","OhDZ","1","187","33","249","108",NULL
"95","737","1394-05-23","1399-05-23",NULL,"IAtW","1umQ","1","3","11","180","134",NULL
"96","114","1398-03-22","1403-03-22",NULL,"226U","SvGL","1","37","90","96","250",NULL
"97","296","1394-04-22","1399-04-22",NULL,"QoyY","Slik","1","18","36","248","2",NULL
"98","606","1387-05-02","1392-05-02",NULL,"JFNc","Y8br","1","1","16","91","81",NULL
"99","119","1396-04-08","1401-04-08",NULL,"A3iy","oRWL","1","88","42","74","92",NULL
"100","194","1391-07-24","1396-07-24","1392-01-12","Bt7R","XITu","0","141","70","183","212","198"
"101","344","1398-05-06","1403-05-06",NULL,"iaUZ","Oyl9","1","180","18","171","8",NULL
"102","678","1399-07-23","1404-07-23",NULL,"ES35","FYvh","1","142","46","141","126",NULL
"103","866","1392-09-12","1397-09-12",NULL,"a91O","5HlB","1","33","101","34","137",NULL
"104","859","1393-11-01","1398-11-01",NULL,"T4bx","SVCO","1","122","1","28","59",NULL
"105","633","1388-12-02","1393-12-02",NULL,"iqgR","u2ZJ","1","249","62","151","146",NULL
"106","898","1393-06-14","1398-06-14",NULL,"m5yc","nEmK","1","95","20","93","43",NULL
"107","116","1387-08-16","1392-08-16",NULL,"4YJC","ldPx","1","135","100","286","247",NULL
"108","472","1396-05-25","1401-05-25",NULL,"Nsm8","CmbA","1","193","16","224","231",NULL
"109","185","1388-10-28","1393-10-28",NULL,"WO69","RZ2Z","1","85","48","55","66",NULL
"110","870","1393-10-10","1398-10-10",NULL,"TY4x","SREd","1","230","83","235","19",NULL
